STT,Tên bài,LT,TH,Tổng
Chăm sóc sức khỏe cộng đồng - Lý thuyết,,,,
1,Bài 1. Khái niệm về điều dưỡng cộng đồng,2,0,2
2,Bài 2. Thu thập và xử lý thông tin,4,0,4
3,Bài 3. Xác định nhu cầu chăm sóc sức khỏe cộng đồng,4,0,4
4,Bài 4. Lập kế hoạch chăm sóc sức khỏe cộng đồng,4,0,4
5,Kiểm tra,1,0,1
6,,,,
7,,,,
8,,,,
9,,,,
Quản lý Hộ sinh & CS sức khỏe SSCĐ,,,,
1,Bài 1. Khái niệm về điều dưỡng cộng đồng,2,0,2
2,Bài 2. Thu thập và xử lý thông tin,4,0,4
3,Bài 3. Xác định nhu cầu chăm sóc sức khỏe cộng đồng,4,0,4
4,Bài 4. Lập kế hoạch chăm sóc sức khỏe cộng đồng,4,0,4
5,Kiểm tra,1,0,1
6,,,,
7,,,,
8,,,,
9,,,,
Thực hành Nghiên cứu khoa học,,,,
1,Bài 1. Đại cương về nghiên cứu khoa học,2,0,2
2,"Bài 2. Thiết kế nghiên cứu, chọn mẫu và xác định cỡ mẫu",6,10,16
3,"Bài 3. Thu thập, xử lý và phân tích dữ liệu",2,10,12
4,Bài 4. Lập kế hoạch nghiên cứu và dự trù kinh phí,2,4,6
5,Bài 5. Viết đề cương và báo cáo khoa học,2,5,7
6,Kiểm tra,1,1,2
7,,,,
8,,,,
9,,,,
Dịch tễ học - Thực hành Nghiên cứu khoa học,,,,
1,Bài 1. Đại cương về dịch tễ học,4,0,4
2,Bài 2. Các chỉ số thường dùng trong dịch tễ học,4,4,8
3,Bài 3. Điều tra xử lý dịch,4,2,6
4,Bài 4. Đại cương về nghiên cứu khoa học,2,0,2
5,"Bài 5. Thiết kế nghiên cứu, chọn mẫu và xác định cỡ mẫu",10,10,20
6,"Bài 6. Thu thập, xử lý và phân tích dữ liệu",2,6,8
7,Bài 7. Lập kế hoạch nghiên cứu và dự trù kinh phí,1,3,4
8,Bài 8. Viết đề cương và báo cáo khoa học,2,4,6
9,Kiểm tra,1,1,2
